Name,Fault_Loc,Total_Lines,Type,Line,Verify,Fault_Loc_Percentage,Total_Lines_Num,Category,Repaired,Attempt,Repair_Line,Repair_Fix,Repair_Original,Repair_Same
Software-building-and-verification-Projects_tmp_tmp5tm1srrn_CVS-projeto_aula5_5,"['65', ' 66', ' 67', ' 68', ' 70']","[65, 66, 67, 68, 70]",void,70.0,True,100.0,5,100%,True,0,70,nelems := nelems + 1;,nelems := nelems + 1;,True
Dafny-Projects_tmp_tmph399drhy_p2_arraySplit_13,"['16', ' 20', ' 21', ' 32', ' 33', ' 39', ' 40', ' 41']","[9, 11, 12, 14, 16, 20, 21, 32, 33, 39, 40, 41]",array(int)_array(int),41.0,True,66.66666666666666,12,Others,True,0,41,j := j + 1;,j := j + 1;,True
dafl_tmp_tmp_r3_8w3y_dafny_examples_uiowa_fibonacci_5,"['25', ' 28', ' 29', ' 30', ' 31', ' 32', ' 40', ' 42', ' 26']","[25, 26, 27, 28, 29, 30, 31, 32, 38, 39, 40, 42]",nat,42.0,True,75.0,12,Others,True,0,42,i := i + 1; //buggy line,i := i + 1;,True
Clover_binary_search_3,"['9', ' 14', ' 15', ' 16', ' 18', ' 21']","[8, 9, 14, 15, 16, 17, 18, 21]",int,14.0,True,75.0,8,Others,True,0,14,var mid := (lo + hi) / 2; //buggy line,var mid := (lo + hi) / 2;,True
dafny-language-server_tmp_tmpkir0kenl_Test_dafny2_Intervals_23,"['48', ' 49', ' 51', ' 52', ' 57', ' 59', ' 60', ' 62', ' 65']","[48, 49, 51, 52, 57, 59, 60, 61, 62, 65]",int,60.0,True,90.0,10,Others,True,0,60,i := mid + 1; //buggy line,i := mid + 1;,True
dafny-synthesis_task_id_282_4,"['8', ' 9', ' 10', ' 15', ' 16']","[8, 9, 10, 15, 16]",array(int),16.0,True,100.0,5,100%,False,,,,i := i + 1;,False
Dafny-Practice_tmp_tmphnmt4ovh_Pattern Matching_16,"['7', ' 9', ' 13', ' 6', ' 17', ' 19', ' 24', ' 25', ' 30', ' 33', ' 34', ' 37', ' 38', ' 40', ' 49', ' 62', ' 63', ' 64', ' 69', ' 74', ' 75', ' 78']","[6, 7, 9, 13, 17, 19, 24, 25, 27, 30, 33, 34, 37, 38, 40, 45, 46, 49, 60, 62, 63, 64, 69, 74, 75, 78, 86, 89, 94, 96, 103]",set(nat),64.0,True,70.96774193548387,31,Others,True,0,64,text_hash := old_text_hash - left_letter_as_int + right_new_letter_as_int;,text_hash := text_hash - left_letter_as_int + right_new_letter_as_int;,False
dafny-synthesis_task_id_798_0,"['14', ' 18']","[13, 14, 18]",int,18.0,True,66.66666666666666,3,Others,True,0,18,result := result + a[i];,result := result + a[i];,True
Workshop_tmp_tmp0cu11bdq_Lecture_Answers_sum_array_5,"['13', ' 14', ' 15', ' 19', ' 20']","[13, 14, 15, 19, 20]",int,20.0,True,100.0,5,100%,True,0,20,i := i + 1;,i := i + 1;,True
Dafny-Exercises_tmp_tmpjm75muf__Session4Exercises_ExerciseContained_3,"['21', ' 31', ' 32', ' 34', ' 38']","[19, 20, 21, 31, 32, 34, 38]",bool,32.0,True,71.42857142857143,7,Others,True,1,32,i := i + 1;,i:=i+1;,True
HATRA-2022-Paper_tmp_tmp5texxy8l_copilot_verification_Two Sum_two_sum_1,"['10', ' 15', ' 16', ' 28']","[9, 10, 15, 16, 22, 24, 26, 28]",int_int,15.0,True,50.0,8,Others,True,0,15,var j := i + 1;,var j := i + 1;,True
