Name,Fault_Loc,Total_Lines,Type,Line,Verify,Fault_Loc_Percentage,Category,Total_Lines_Num,Repaired,Attempt,Repair_Line,Repair_Fix,Repair_Original,Repair_Same
se2011_tmp_tmp71eb82zt_ass2_ex2_no_hints_1,"['14', ' 18', ' 21', ' 22', ' 24', ' 33', ' 34']","[14, 15, 17, 18, 21, 22, 22, 24, 24, 24, 26, 28, 29, 29, 30, 31, 32, 33, 34, 36]",int,34.0,True,35.0,Others,20,True,0,34,i := i + 1; //buggy line,i := i+1;,True
703FinalProject_tmp_tmpr_10rn4z_DP-GD_no_hints_25,"['7', ' 9', ' 12', ' 13', ' 14', ' 16', ' 17', ' 18', ' 19', ' 25', ' 26', ' 27', ' 28', ' 30', ' 31', ' 32', ' 34', ' 35']","[7, 8, 9, 10, 12, 13, 14, 16, 17, 18, 19, 21, 24, 25, 26, 27, 28, 30, 31, 32, 34, 35]",real_real,32.0,True,81.81818181818183,Others,22,True,0,32,t := t + 1; //buggy line,t := t+1;,True
dafny-synthesis_task_id_441_no_hints_0,['5'],[5],int,5.0,True,100.0,100%,1,True,0,5,area := 6 * size * size;,area := 6 * size * size;,True
Dafny_Verify_tmp_tmphq7j0row_Test_Cases_Function_no_hints_0,['9'],[9],int,9.0,True,100.0,100%,1,True,0,9,r := 3 * x;,r := 3 * x;,True
cs245-verification_tmp_tmp0h_nxhqp_SortingIssues_BubbleSortCode_no_hints_0,"['20', ' 21', ' 24', ' 26']","[16, 17, 19, 20, 21, 22, 23, 24, 26, 28]",void,26.0,True,40.0,Others,10,True,0,26,j := j + 1; //buggy line,j := j+1;,True
Formal-methods-of-software-development_tmp_tmppryvbyty_Examenes_Beni_Heusel-Benedikt-Ass-1_no_hints_7,[],"[139, 141, 143, 153]",void,106.0,False,0.0,Others,4,False,,,,var k := z/2;,False
Dafny_Verify_tmp_tmphq7j0row_Test_Cases_Ghost_no_hints_24,"['47', ' 49', ' 50', ' 55', ' 52']","[46, 47, 49, 50, 51, 52, 55]",int,55.0,True,71.42857142857143,Others,7,True,0,55,y := a + b; //buggy line,y := a + b;,True
Prog-Fun-Solutions_tmp_tmp7_gmnz5f_mockExam2_p2_no_hints_1,['13'],"[10, 11, 12, 13]",int_int,11.0,False,25.0,Others,4,False,,,,r := r - 2*s + 6;,False
CSU55004---Formal-Verification_tmp_tmp4ki9iaqy_Project_Project_Part_1_project_pt_1_no_hints_16,"['118', ' 119', ' 117', ' 123', ' 129', ' 130', ' 133', ' 136']","[114, 117, 118, 119, 123, 127, 129, 130, 132, 133, 136]",nat,133.0,True,72.72727272727273,Others,11,True,0,133,i := i - 1; //buggy line,i := i - 1;,True
Clover_triple3_no_hints_3,"['8', ' 9']","[4, 5, 7, 8, 9]",int,8.0,True,40.0,Others,5,True,0,9,r := 3 * x;,var y:=2*x;,False
dafny-synthesis_task_id_432_no_hints_0,['5'],[5],int,5.0,True,100.0,100%,1,True,0,5,median := (a + b) / 2;,median := (a + b) / 2;,True
dafny-language-server_tmp_tmpkir0kenl_Test_hofs_WhileLoop_no_hints_1,"['9', ' 11', ' 12', ' 14', ' 15', ' 17']","[9, 10, 11, 12, 14, 15, 17]",int,14.0,True,85.71428571428571,Others,7,True,0,14,i.val := i.val + 1; //buggy line,i.val := i.val + 1;,True
