Name,Fault_Loc,Total_Lines,Type,Line,Verify,Fault_Loc_Percentage,Category,Total_Lines_Num,Repaired,Attempt,Repair_Line,Repair_Fix,Repair_Original,Repair_Same
se2011_tmp_tmp71eb82zt_ass2_ex2_no_hints_1,"['14', ' 18', ' 21', ' 22', ' 24', ' 33', ' 34']","[14, 15, 17, 18, 21, 22, 22, 24, 24, 24, 26, 28, 29, 29, 30, 31, 32, 33, 34, 36]",int,34.0,True,35.0,Others,20,False,,,,i := i+1;,False
703FinalProject_tmp_tmpr_10rn4z_DP-GD_no_hints_25,"['7', ' 9', ' 12', ' 13', ' 14', ' 16', ' 17', ' 18', ' 19', ' 25', ' 26', ' 27', ' 28', ' 30', ' 31', ' 32', ' 34', ' 35']","[7, 8, 9, 10, 12, 13, 14, 16, 17, 18, 19, 21, 24, 25, 26, 27, 28, 30, 31, 32, 34, 35]",real_real,32.0,True,81.81818181818183,Others,22,False,,,,t := t+1;,False
dafny-synthesis_task_id_441_no_hints_0,['5'],[5],int,5.0,True,100.0,100%,1,False,,,,area := 6 * size * size;,False
Dafny_Verify_tmp_tmphq7j0row_Test_Cases_Function_no_hints_0,['9'],[9],int,9.0,True,100.0,100%,1,False,,,,r := 3 * x;,False
cs245-verification_tmp_tmp0h_nxhqp_SortingIssues_BubbleSortCode_no_hints_0,"['20', ' 21', ' 24', ' 26']","[16, 17, 19, 20, 21, 22, 23, 24, 26, 28]",void,26.0,True,40.0,Others,10,False,,,,j := j+1;,False
Formal-methods-of-software-development_tmp_tmppryvbyty_Examenes_Beni_Heusel-Benedikt-Ass-1_no_hints_7,[],"[139, 141, 143, 153]",void,106.0,False,0.0,Others,4,False,,,,var k := z/2;,False
Dafny_Verify_tmp_tmphq7j0row_Test_Cases_Ghost_no_hints_24,"['47', ' 49', ' 50', ' 55', ' 52']","[46, 47, 49, 50, 51, 52, 55]",int,55.0,True,71.42857142857143,Others,7,False,,,,y := a + b;,False
Prog-Fun-Solutions_tmp_tmp7_gmnz5f_mockExam2_p2_no_hints_1,['13'],"[10, 11, 12, 13]",int_int,11.0,False,25.0,Others,4,False,,,,r := r - 2*s + 6;,False
CSU55004---Formal-Verification_tmp_tmp4ki9iaqy_Project_Project_Part_1_project_pt_1_no_hints_16,"['118', ' 119', ' 117', ' 123', ' 129', ' 130', ' 133', ' 136']","[114, 117, 118, 119, 123, 127, 129, 130, 132, 133, 136]",nat,133.0,True,72.72727272727273,Others,11,False,,,,i := i - 1;,False
Clover_triple3_no_hints_3,"['8', ' 9']","[4, 5, 7, 8, 9]",int,8.0,True,40.0,Others,5,False,,,,var y:=2*x;,False
dafny-synthesis_task_id_432_no_hints_0,['5'],[5],int,5.0,True,100.0,100%,1,True,1,5,"// buggy line should be changed to:
median := (a + b) / 2;",median := (a + b) / 2;,True
dafny-language-server_tmp_tmpkir0kenl_Test_hofs_WhileLoop_no_hints_1,"['9', ' 11', ' 12', ' 14', ' 15', ' 17']","[9, 10, 11, 12, 14, 15, 17]",int,14.0,True,85.71428571428571,Others,7,False,,,,i.val := i.val + 1;,False
dafny-synthesis_task_id_139_no_hints_0,['5'],[5],real,5.0,True,100.0,100%,1,False,,,,circumference := 2.0 * 3.14159265358979323846 * radius;,False
dafny-synthesis_task_id_577_no_hints_1,"['13', ' 14']","[13, 14]",int,13.0,True,100.0,100%,2,False,,,,var lastDigit := n % 10;,False
Formal-methods-of-software-development_tmp_tmppryvbyty_Examenes_Beni_Heusel-Benedikt-Ass-1_no_hints_0,['32'],"[20, 29, 30, 32, 139, 141, 143, 153]",void,32.0,True,12.5,Others,8,False,,,,"var k := (exp(3,4*(n-1))+9) / 10;",False
dafny-language-server_tmp_tmpkir0kenl_Test_hofs_WhileLoop_no_hints_7,"['21', ' 22', ' 23', ' 25', ' 26', ' 28']","[21, 22, 23, 25, 26, 28]",int,25.0,True,100.0,100%,6,True,0,23,,i := i + 1;,False
dafl_tmp_tmp_r3_8w3y_dafny_examples_dafny0_DividedConstructors_no_hints_8,"['71', ' 37\n37']","[71, 37, 37]",void,37.0,False,33.33333333333333,Others,3,False,,,,a := a + b;,False
stunning-palm-tree_tmp_tmpr84c2iwh_ch1_no_hints_4,"['4', ' 5']","[4, 5]",int,5.0,True,100.0,100%,2,False,,,,r := y + x;,False
DafnyProjects_tmp_tmp2acw_s4s_Power_no_hints_6,"['16', ' 17', ' 19', ' 20', ' 22', ' 24', ' 25', ' 29', ' 30']","[16, 17, 19, 19, 20, 22, 22, 23, 24, 25, 27, 28, 29, 30]",real,30.0,True,64.28571428571429,Others,14,False,,,,return temp * temp * x;,False
Clover_avg_no_hints_3,['4'],[4],int,4.0,True,100.0,100%,1,True,1,4,return ((a + b) / 2);,avg:= (a + b) / 2;,False
check,[],[],,,False,0.0,Others,0,False,,,,,False
nitwit_tmp_tmplm098gxz_nit_no_hints_20,"['181', ' 182']","[181, 182]",nat_nat,182.0,True,100.0,100%,2,False,,,,carry := (x + y) / b;,False
dafny-synthesis_task_id_14_no_hints_0,['7'],[7],int,7.0,True,100.0,100%,1,False,,,,volume := (base * height * length) / 2;,False
703FinalProject_tmp_tmpr_10rn4z_DP-GD_no_hints_0,"['7', ' 9', ' 12', ' 13', ' 14', ' 16', ' 17', ' 18', ' 19', ' 25', ' 26', ' 27', ' 28', ' 30', ' 31', ' 32', ' 34', ' 35']","[7, 8, 9, 10, 12, 13, 14, 16, 17, 18, 19, 21, 24, 25, 26, 27, 28, 30, 31, 32, 34, 35]",real_real,13.0,True,81.81818181818183,Others,22,False,,,,var constant:real := (size as real) * tau;,False
Dafny_Verify_tmp_tmphq7j0row_Test_Cases_Index_no_hints_3,['5'],[5],int,5.0,True,100.0,100%,1,False,,,,i := n/2;,False
Clover_multi_return_no_hints_2,"['5', ' 6']","[5, 6]",int_int,5.0,True,100.0,100%,2,False,,,,more := x + y;,False
703FinalProject_tmp_tmpr_10rn4z_DP-GD_no_hints_13,"['7', ' 9', ' 12', ' 13', ' 14', ' 16', ' 17', ' 18', ' 19', ' 25', ' 26', ' 27', ' 28', ' 30', ' 31', ' 32', ' 34', ' 35']","[7, 8, 9, 10, 12, 13, 14, 16, 17, 18, 19, 21, 24, 25, 26, 27, 28, 30, 31, 32, 34, 35]",real_real,28.0,True,81.81818181818183,Others,22,False,,,,i := i + 1;,False
stunning-palm-tree_tmp_tmpr84c2iwh_ch1_no_hints_6,"['4', ' 5']","[4, 5]",int,5.0,True,100.0,100%,2,False,,,,r := y + x;,False
Trab1-Metodos-Formais_tmp_tmp_8fa4trr_circular-array_no_hints_11,"['73', ' 74', ' 75', ' 80', ' 81', ' 68', ' 78']","[73, 74, 75, 77, 78, 80, 81, 68]",int,75.0,True,87.5,Others,8,False,,,,start := start + 1;,False
