Name,Fault_Loc,Total_Lines,Type,Line,Verify,Fault_Loc_Percentage,Category,Total_Lines_Num
se2011_tmp_tmp71eb82zt_ass2_ex2_no_hints_1,"['14', ' 18', ' 21', ' 22', ' 24', ' 33', ' 34']","[14, 15, 17, 18, 21, 22, 22, 24, 24, 24, 26, 28, 29, 29, 30, 31, 32, 33, 34, 36]",int,34.0,True,35.0,Others,20
703FinalProject_tmp_tmpr_10rn4z_DP-GD_no_hints_25,"['7', ' 9', ' 12', ' 13', ' 14', ' 16', ' 17', ' 18', ' 19', ' 25', ' 26', ' 27', ' 28', ' 30', ' 31', ' 32', ' 34', ' 35']","[7, 8, 9, 10, 12, 13, 14, 16, 17, 18, 19, 21, 24, 25, 26, 27, 28, 30, 31, 32, 34, 35]",real_real,32.0,True,81.81818181818183,Others,22
dafny-synthesis_task_id_441_no_hints_0,['5'],[5],int,5.0,True,100.0,100%,1
Dafny_Verify_tmp_tmphq7j0row_Test_Cases_Function_no_hints_0,['9'],[9],int,9.0,True,100.0,100%,1
cs245-verification_tmp_tmp0h_nxhqp_SortingIssues_BubbleSortCode_no_hints_0,"['20', ' 21', ' 24', ' 26']","[16, 17, 19, 20, 21, 22, 23, 24, 26, 28]",void,26.0,True,40.0,Others,10
Formal-methods-of-software-development_tmp_tmppryvbyty_Examenes_Beni_Heusel-Benedikt-Ass-1_no_hints_7,[],"[139, 141, 143, 153]",void,106.0,False,0.0,Others,4
Dafny_Verify_tmp_tmphq7j0row_Test_Cases_Ghost_no_hints_24,"['47', ' 49', ' 50', ' 55', ' 52']","[46, 47, 49, 50, 51, 52, 55]",int,55.0,True,71.42857142857143,Others,7
Prog-Fun-Solutions_tmp_tmp7_gmnz5f_mockExam2_p2_no_hints_1,['13'],"[10, 11, 12, 13]",int_int,11.0,False,25.0,Others,4
CSU55004---Formal-Verification_tmp_tmp4ki9iaqy_Project_Project_Part_1_project_pt_1_no_hints_16,"['118', ' 119', ' 117', ' 123', ' 129', ' 130', ' 133', ' 136']","[114, 117, 118, 119, 123, 127, 129, 130, 132, 133, 136]",nat,133.0,True,72.72727272727273,Others,11
Clover_triple3_no_hints_3,"['8', ' 9']","[4, 5, 7, 8, 9]",int,8.0,True,40.0,Others,5
dafny-synthesis_task_id_432_no_hints_0,['5'],[5],int,5.0,True,100.0,100%,1
dafny-language-server_tmp_tmpkir0kenl_Test_hofs_WhileLoop_no_hints_1,"['9', ' 11', ' 12', ' 14', ' 15', ' 17']","[9, 10, 11, 12, 14, 15, 17]",int,14.0,True,85.71428571428571,Others,7
dafny-synthesis_task_id_139_no_hints_0,['5'],[5],real,5.0,True,100.0,100%,1
dafny-synthesis_task_id_577_no_hints_1,"['13', ' 14']","[13, 14]",int,13.0,True,100.0,100%,2
Formal-methods-of-software-development_tmp_tmppryvbyty_Examenes_Beni_Heusel-Benedikt-Ass-1_no_hints_0,['32'],"[20, 29, 30, 32, 139, 141, 143, 153]",void,32.0,True,12.5,Others,8
dafny-language-server_tmp_tmpkir0kenl_Test_hofs_WhileLoop_no_hints_7,"['21', ' 22', ' 23', ' 25', ' 26', ' 28']","[21, 22, 23, 25, 26, 28]",int,25.0,True,100.0,100%,6
dafl_tmp_tmp_r3_8w3y_dafny_examples_dafny0_DividedConstructors_no_hints_8,"['71', ' 37\n37']","[71, 37, 37]",void,37.0,False,33.33333333333333,Others,3
stunning-palm-tree_tmp_tmpr84c2iwh_ch1_no_hints_4,"['4', ' 5']","[4, 5]",int,5.0,True,100.0,100%,2
DafnyProjects_tmp_tmp2acw_s4s_Power_no_hints_6,"['16', ' 17', ' 19', ' 20', ' 22', ' 24', ' 25', ' 29', ' 30']","[16, 17, 19, 19, 20, 22, 22, 23, 24, 25, 27, 28, 29, 30]",real,30.0,True,64.28571428571429,Others,14
Clover_avg_no_hints_3,['4'],[4],int,4.0,True,100.0,100%,1
check,[],[],,,False,0.0,Others,0
nitwit_tmp_tmplm098gxz_nit_no_hints_20,"['181', ' 182']","[181, 182]",nat_nat,182.0,True,100.0,100%,2
dafny-synthesis_task_id_14_no_hints_0,['7'],[7],int,7.0,True,100.0,100%,1
703FinalProject_tmp_tmpr_10rn4z_DP-GD_no_hints_0,"['7', ' 9', ' 12', ' 13', ' 14', ' 16', ' 17', ' 18', ' 19', ' 25', ' 26', ' 27', ' 28', ' 30', ' 31', ' 32', ' 34', ' 35']","[7, 8, 9, 10, 12, 13, 14, 16, 17, 18, 19, 21, 24, 25, 26, 27, 28, 30, 31, 32, 34, 35]",real_real,13.0,True,81.81818181818183,Others,22
Dafny_Verify_tmp_tmphq7j0row_Test_Cases_Index_no_hints_3,['5'],[5],int,5.0,True,100.0,100%,1
Clover_multi_return_no_hints_2,"['5', ' 6']","[5, 6]",int_int,5.0,True,100.0,100%,2
703FinalProject_tmp_tmpr_10rn4z_DP-GD_no_hints_13,"['7', ' 9', ' 12', ' 13', ' 14', ' 16', ' 17', ' 18', ' 19', ' 25', ' 26', ' 27', ' 28', ' 30', ' 31', ' 32', ' 34', ' 35']","[7, 8, 9, 10, 12, 13, 14, 16, 17, 18, 19, 21, 24, 25, 26, 27, 28, 30, 31, 32, 34, 35]",real_real,28.0,True,81.81818181818183,Others,22
stunning-palm-tree_tmp_tmpr84c2iwh_ch1_no_hints_6,"['4', ' 5']","[4, 5]",int,5.0,True,100.0,100%,2
Trab1-Metodos-Formais_tmp_tmp_8fa4trr_circular-array_no_hints_11,"['73', ' 74', ' 75', ' 80', ' 81', ' 68', ' 78']","[73, 74, 75, 77, 78, 80, 81, 68]",int,75.0,True,87.5,Others,8
dafl_tmp_tmp_r3_8w3y_dafny_examples_dafny0_DividedConstructors_no_hints_12,"['76', ' 44\n44']","[76, 44, 44]",void,44.0,False,33.33333333333333,Others,3
Trab1-Metodos-Formais_tmp_tmp_8fa4trr_circular-array_no_hints_12,"['73', ' 74', ' 75', ' 80', ' 81', ' 68', ' 78']","[73, 74, 75, 77, 78, 80, 81, 68]",int,80.0,True,87.5,Others,8
dafl_tmp_tmp_r3_8w3y_dafny_examples_dafny0_DividedConstructors_no_hints_24,"['71', ' 37\n37']","[71, 37, 37]",void,37.0,False,33.33333333333333,Others,3
703FinalProject_tmp_tmpr_10rn4z_DP-GD_no_hints_3,"['7', ' 9', ' 12', ' 13', ' 14', ' 16', ' 17', ' 18', ' 19', ' 25', ' 26', ' 27', ' 28', ' 30', ' 31', ' 32', ' 34', ' 35']","[7, 8, 9, 10, 12, 13, 14, 16, 17, 18, 19, 21, 24, 25, 26, 27, 28, 30, 31, 32, 34, 35]",real_real,13.0,True,81.81818181818183,Others,22
dafny-synthesis_task_id_581_no_hints_1,['6'],[6],int,6.0,True,100.0,100%,1
Clover_swap_arith_no_hints_8,"['9', ' 10']","[6, 8, 9, 10]",int_int,10.0,True,50.0,Others,4
Dafny_Verify_tmp_tmphq7j0row_dataset_C_convert_examples_01_no_hints_7,['9'],"[4, 5, 6, 7, 9, 11, 12, 13, 14]",int_int_int_int,14.0,False,11.11111111111111,Others,9
Dafny_Verify_tmp_tmphq7j0row_Test_Cases_Ghost_no_hints_15,"['23', ' 24']","[23, 24]",int_int,24.0,True,100.0,100%,2
Prog-Fun-Solutions_tmp_tmp7_gmnz5f_mockExam2_p2_no_hints_7,['13'],"[10, 11, 12, 13]",int_int,12.0,False,25.0,Others,4
